global_step,local_step,raw_action_min,raw_action_max,action_0,action_1,action_2,action_3,action_4,action_5,action_6,expected_dx_m,expected_dy_m,expected_dz_m,expected_rx_rad,expected_ry_rad,expected_rz_rad,demo_err_max,live_err_max,live_reward,live_done,live_truncated,action_changed_by_safety,demo_delta_action_0,demo_delta_action_1,demo_delta_action_2,demo_delta_action_3,demo_delta_action_4,demo_delta_action_5,live_delta_action_0,live_delta_action_1,live_delta_action_2,live_delta_action_3,live_delta_action_4,live_delta_action_5
22,22,-0.2556920051574707,0.0379711389541626,0.0379711389541626,-0.13618171215057373,-0.2556920051574707,-0.005422268062829971,-0.07397599518299103,-0.06967414915561676,0.0,0.0006834804662503302,-0.002451270818710327,-0.004602455999702215,-5.4222680773818865e-05,-0.0007397599401883781,-0.0006967414519749582,0.2959039807319641,0.6529493927955627,0.0,False,False,False,0.02109507843852043,-0.07565651088953018,-0.1420511156320572,-0.027111342176795006,-0.36987999081611633,-0.348370760679245,0.0343976765871048,-0.12227065861225128,-0.13476528227329254,-0.6583716869354248,-0.16799163818359375,-0.6056883931159973
23,23,-0.19928812980651855,0.017639994621276855,0.017639994621276855,-0.06791353225708008,-0.19928812980651855,-0.012111714109778404,-0.08266454190015793,-0.0759759396314621,0.0,0.00031751987989991903,-0.0012224435340613127,-0.0035871861036866903,-0.00012111714022466913,-0.0008266454096883535,-0.0007597593939863145,0.3306581974029541,0.49833834171295166,0.0,False,False,False,0.009799997322261333,-0.037729740142822266,-0.11071563512086868,-0.06055857241153717,-0.4133227467536926,-0.3798797130584717,-0.03192656859755516,0.01695421151816845,-0.13494740426540375,0.4862266182899475,0.2157382220029831,0.2751345932483673
24,24,-0.21224766969680786,0.07098615169525146,0.07098615169525146,-0.1317530870437622,-0.21224766969680786,0.016483619809150696,-0.12996937334537506,-0.06537910550832748,0.0,0.001277750707231462,-0.0023715554270893335,-0.003820457961410284,0.0001648361940169707,-0.0012996937148272991,-0.000653791066724807,0.519877552986145,0.5640456676483154,0.0,False,False,False,0.03943675383925438,-0.0731961652636528,-0.11791537702083588,0.08241810649633408,-0.6498469114303589,-0.326895534992218,0.015607311390340328,-0.0339183546602726,-0.09247744083404541,-0.5475620627403259,-0.20143820345401764,-0.47225221991539
25,25,-0.23347139358520508,0.09444721043109894,-0.0032529234886169434,-0.041288137435913086,-0.23347139358520508,0.09444721043109894,-0.07721451669931412,-0.03008388727903366,0.0,-5.855262133991346e-05,-0.0007431864505633712,-0.004202485084533691,0.0009444720926694572,-0.0007721451693214476,-0.00030083887395448983,0.37778884172439575,0.4717479348182678,0.0,False,False,False,-0.001807179767638445,-0.022937854751944542,-0.12970633804798126,0.4722360670566559,-0.38607257604599,-0.1504194438457489,0.05413178354501724,-0.027671458199620247,-0.14759518206119537,0.5661951303482056,0.10221847891807556,0.1620735079050064
26,26,-0.22253692150115967,0.0,-0.027097761631011963,-0.15172064304351807,-0.22253692150115967,-0.015562595799565315,-0.04958927258849144,-0.05371994897723198,0.0,-0.0004877596802543849,-0.002730971435084939,-0.0040056644938886166,-0.00015562595217488706,-0.0004958927165716887,-0.0005371994921006262,0.21487979590892792,0.5491682291030884,0.0,False,False,False,-0.015054312534630299,-0.08428925275802612,-0.12363162636756897,-0.07781297713518143,-0.2479463666677475,-0.2685997486114502,-0.08082059025764465,0.026272403076291084,-0.13081233203411102,-0.5647308230400085,-0.11250779777765274,-0.3483726680278778
27,27,-0.3364264965057373,0.018240511417388916,0.018240511417388916,-0.14709830284118652,-0.3364264965057373,-0.04328370839357376,-0.02361346408724785,-0.14983217418193817,0.0,0.0003283291880507022,-0.0026477694045752287,-0.006055676843971014,-0.00043283708509989083,-0.0002361346414545551,-0.0014983216533437371,0.5993287563323975,0.562321126461029,0.0,False,False,False,0.01013361755758524,-0.08172128349542618,-0.18690361082553864,-0.2164185494184494,-0.11806732416152954,-0.7491609454154968,0.036781035363674164,-0.08831752836704254,-0.09844783693552017,0.5190374255180359,0.08286163210868835,0.02864093706011772
28,28,-0.34240931272506714,0.04125746339559555,0.006651878356933594,-0.031229853630065918,-0.34240931272506714,0.04125746339559555,0.017617274075746536,-0.14101284742355347,0.0,0.00011973380605923012,-0.0005621373420581222,-0.006163367535918951,0.0004125746199861169,0.00017617273260839283,-0.0014101284323260188,0.5640513896942139,0.8350275158882141,0.0,False,False,False,0.0036954882089048624,-0.01734991930425167,-0.19022740423679352,0.20628732442855835,0.08808637410402298,-0.7050642371177673,-0.04080434888601303,-0.03832578659057617,-0.27765998244285583,-0.7937700748443604,-0.00693275174126029,-0.40492454171180725
29,29,-0.27231574058532715,0.04334770143032074,-0.05233287811279297,-0.06258785724639893,-0.27231574058532715,-0.00021970666421111673,0.04334770143032074,-0.06332441419363022,0.0,-0.0009419917478226125,-0.0011265813373029232,-0.004901682958006859,-2.197066578446538e-06,0.00043347699102014303,-0.0006332441116683185,0.2532976567745209,0.7007068395614624,0.0,False,False,False,-0.029073823243379593,-0.03477103263139725,-0.1512865275144577,-0.0010985333938151598,0.2167385071516037,-0.3166220784187317,0.013367997482419014,0.048021476715803146,-0.08308804780244827,0.7004871368408203,0.12895409762859344,0.017038939520716667
30,30,-0.17958730459213257,0.04871189594268799,-0.02758204936981201,0.04871189594268799,-0.17958730459213257,0.03587765619158745,0.02122441679239273,-0.019445208832621574,0.0,-0.0004964768886566162,0.0008768140687607229,-0.0032325712963938713,0.00035877656773664057,0.00021224416559562087,-0.00019445207726676017,0.1435106247663498,0.8855196237564087,0.0,False,False,False,-0.01532336138188839,0.02706216648221016,-0.09977073222398758,0.17938828468322754,0.10612209141254425,-0.09722604602575302,-0.08291089534759521,-0.07234513759613037,-0.21458004415035248,-0.8496419787406921,-0.02544335462152958,-0.25629571080207825
31,31,-0.15899986028671265,0.021644338965415955,-0.03126263618469238,0.005951523780822754,-0.15899986028671265,0.002052903175354004,0.016185544431209564,0.021644338965415955,0.0,-0.0005627274513244629,0.000107127423689235,-0.0028619973454624414,2.0529030734905973e-05,0.00016185543790925294,0.00021644338266924024,0.08657736331224442,0.8114261627197266,0.0,False,False,False,-0.01736813224852085,0.0033064023591578007,-0.08833325654268265,0.010264516808092594,0.08092772215604782,0.10822170227766037,0.010219713672995567,0.1603696197271347,-0.028962891548871994,0.8134790658950806,0.0405324287712574,0.03874531760811806
