global_step,local_step,pkl_format,demo_scale_source,demo_pos_scale,demo_rot_scale,current_pos_scale,current_rot_scale,raw_action_min,raw_action_max,action_changed_by_safety,intervention_overrode_action,action_0,action_1,action_2,action_3,action_4,action_5,action_6,action_6_desc,expected_dx_m,expected_dy_m,expected_dz_m,expected_rx_rad,expected_ry_rad,expected_rz_rad,live_prev_pose_found,live_next_pose_found,demo_prev_pose_found,demo_next_pose_found,live_err_norm_max,live_err_norm_l2,live_err_pos_max_m,live_err_pos_l2_m,live_err_rot_max_rad,live_err_rot_l2_rad,demo_err_norm_max,demo_err_pos_max_m,demo_err_rot_max_rad,prev_gripper_feedback,next_gripper_feedback,delta_gripper_feedback,prev_gripper_state,next_gripper_state,prev_hw_gripper_cmd_right,next_hw_gripper_cmd_right,prev_hw_gripper_cmd_left,next_hw_gripper_cmd_left,refresh_success,refresh_source,reward,done,truncated,live_delta_action_0,live_action_err_0,demo_delta_action_0,live_delta_action_1,live_action_err_1,demo_delta_action_1,live_delta_action_2,live_action_err_2,demo_delta_action_2,live_delta_action_3,live_action_err_3,demo_delta_action_3,live_delta_action_4,live_action_err_4,demo_delta_action_4,live_delta_action_5,live_action_err_5,demo_delta_action_5
10,10,legacy_list,manual,0.02,0.04,0.02,0.04,-0.2555612027645111,0.0608496367931366,False,False,0.0608496367931366,0.008442997932434082,0.040397047996520996,-0.2555612027645111,-0.08513014018535614,0.03322694078087807,0.0,hold(0),0.001216992735862732,0.00016885995864868164,0.0008079409599304199,-0.010222448036074638,-0.003405205439776182,0.0013290776405483484,True,True,True,True,0.0752180814743042,0.09124727547168732,0.001504361629486084,0.0016239676624536514,0.0015041218139231205,0.0016651188489049673,0.0,0.0,0.0,80.61681365966797,80.61681365966797,0.0,open,open,80.0,80.0,80.0,80.0,False,env_step_obs_only,0.0,False,False,0.04479065537452698,-0.01605898141860962,0.0608496367931366,0.03447234630584717,0.026029348373413086,0.008442997932434082,-0.0348210334777832,-0.0752180814743042,0.040397047996520996,-0.26532188057899475,-0.009760677814483643,-0.2555612027645111,-0.07017593085765839,0.014954209327697754,-0.08513014018535614,-0.0043761045671999454,-0.037603046745061874,0.03322694078087807
11,11,legacy_list,manual,0.02,0.04,0.02,0.04,-0.19179119169712067,0.022786855697631836,False,False,-0.012893229722976685,0.022786855697631836,0.016336143016815186,-0.1893863081932068,-0.09319590032100677,-0.19179119169712067,0.0,hold(0),-0.0002578645944595337,0.0004557371139526367,0.0003267228603363037,-0.0075754523277282715,-0.003727835835888982,-0.00767164770513773,True,True,True,True,0.061582088470458984,0.10057805478572845,0.0009974837303161621,0.0011460025561973453,0.002463283482939005,0.003306391416117549,0.0,0.0,0.0,80.61681365966797,80.61681365966797,0.0,open,open,80.0,80.0,80.0,80.0,False,env_step_obs_only,0.0,False,False,0.013737380504608154,0.02663061022758484,-0.012893229722976685,0.01347661018371582,-0.009310245513916016,0.022786855697631836,-0.03353804349899292,-0.049874186515808105,0.016336143016815186,-0.1278042197227478,0.061582088470458984,-0.1893863081932068,-0.08455502986907959,0.008640870451927185,-0.09319590032100677,-0.13733366131782532,0.05445753037929535,-0.19179119169712067
12,12,legacy_list,manual,0.02,0.04,0.02,0.04,-0.15335650742053986,0.038492679595947266,False,False,0.038492679595947266,-0.05729794502258301,0.03336220979690552,-0.15335650742053986,-0.04675528034567833,-0.04690219834446907,0.0,hold(0),0.0007698535919189453,-0.0011459589004516602,0.0006672441959381104,-0.006134259980171919,-0.0018702112138271332,-0.0018760878592729568,True,True,True,True,0.054936110973358154,0.07889392226934433,0.001098722219467163,0.001228241715580225,0.0019573718309402466,0.00198103254660964,0.0,0.0,0.0,80.61681365966797,80.61681365966797,0.0,open,open,80.0,80.0,80.0,80.0,False,env_step_obs_only,0.0,False,False,0.041047483682632446,0.0025548040866851807,0.038492679595947266,-0.02996772527694702,0.027330219745635986,-0.05729794502258301,-0.021573901176452637,-0.054936110973358154,0.03336220979690552,-0.15547038614749908,-0.0021138787269592285,-0.15335650742053986,-0.05408822372555733,-0.007332943379878998,-0.04675528034567833,-0.09583649784326553,-0.04893429949879646,-0.04690219834446907
13,13,legacy_list,manual,0.02,0.04,0.02,0.04,-1.0,0.1089031845331192,False,False,0.0016473233699798584,0.006118416786193848,0.014866888523101807,-0.17087596654891968,0.02501528710126877,0.1089031845331192,-1.0,close(-1),3.294646739959717e-05,0.00012236833572387695,0.00029733777046203613,-0.006835038308054209,0.0010006114607676864,0.004356127232313156,True,True,True,True,0.06716698408126831,0.08291410654783249,0.0013433396816253662,0.0013585150009021163,0.001714645535685122,0.0019019319443032146,0.0,0.0,0.0,80.61681365966797,74.41451263427734,-6.202301025390625,open,open,80.0,10.0,80.0,80.0,False,env_step_obs_only,0.0,False,False,-0.0068634748458862305,-0.008510798215866089,0.0016473233699798584,0.011602044105529785,0.0054836273193359375,0.006118416786193848,-0.052300095558166504,-0.06716698408126831,0.014866888523101807,-0.18795397877693176,-0.017078012228012085,-0.17087596654891968,0.013540252111852169,-0.0114750349894166,0.02501528710126877,0.06603704392910004,-0.042866140604019165,0.1089031845331192
14,14,legacy_list,manual,0.02,0.04,0.02,0.04,-0.03170669078826904,0.0641574040055275,False,False,0.02329424023628235,-0.03170669078826904,0.047650933265686035,0.0349220335483551,0.0641574040055275,0.05491742119193077,0.0,hold(0),0.00046588480472564697,-0.0006341338157653809,0.0009530186653137207,0.0013968813000246882,0.0025662961415946484,0.0021966968197375536,True,True,True,True,0.05515143275260925,0.09308870881795883,0.001103028655052185,0.0012453836388885975,0.001936285407282412,0.0027678313199430704,0.0,0.0,0.0,74.41451263427734,51.1549186706543,-23.259593963623047,open,middle/unclear,10.0,10.0,80.0,80.0,False,env_step_obs_only,0.0,False,False,0.002522766590118408,-0.02077147364616394,0.02329424023628235,-0.011599063873291016,0.020107626914978027,-0.03170669078826904,-0.007500499486923218,-0.05515143275260925,0.047650933265686035,-0.00574007723480463,-0.04066210985183716,0.0349220335483551,0.036025598645210266,-0.02813180536031723,0.0641574040055275,0.006510285660624504,-0.048407137393951416,0.05491742119193077
15,15,legacy_list,manual,0.02,0.04,0.02,0.04,-0.05940913408994675,0.28123706579208374,False,False,0.010740011930465698,0.022648274898529053,0.28123706579208374,0.27257007360458374,-0.05940913408994675,0.038323286920785904,0.0,hold(0),0.00021480023860931396,0.00045296549797058105,0.005624741315841675,0.01090280245989561,-0.002376365242525935,0.0015329314628615975,True,True,True,True,0.18249303102493286,0.23273445665836334,0.0036498606204986572,0.0036509321071207523,0.005135334562510252,0.005774711724370718,0.0,0.0,0.0,51.1549186706543,22.953125,-28.201793670654297,middle/unclear,closed,10.0,10.0,80.0,80.0,False,env_step_obs_only,0.0,False,False,0.012104958295822144,0.0013649463653564453,0.010740011930465698,0.01844167709350586,-0.004206597805023193,0.022648274898529053,0.09874403476715088,-0.18249303102493286,0.28123706579208374,0.14418670535087585,-0.12838336825370789,0.27257007360458374,-0.01716548763215542,0.04224364459514618,-0.05940913408994675,-0.012423607520759106,-0.050746895372867584,0.038323286920785904
16,16,legacy_list,manual,0.02,0.04,0.02,0.04,-0.4322912096977234,0.6278507709503174,False,False,0.06112605333328247,0.10833442211151123,0.6278507709503174,0.07197071611881256,-0.4322912096977234,0.19038711488246918,0.0,hold(0),0.0012225210666656494,0.0021666884422302246,0.0125570148229599,0.0028788286726921797,-0.01729164831340313,0.007615484297275543,True,True,True,True,0.4255317449569702,0.5705752968788147,0.008510634303092957,0.008735707961022854,0.0134311243891716,0.014684667810797691,0.0,0.0,0.0,22.953125,17.82169532775879,-5.131429672241211,closed,closed,10.0,10.0,80.0,80.0,False,env_step_obs_only,0.0,False,False,-0.0017724931240081787,-0.06289854645729065,0.06112605333328247,0.03251880407333374,-0.07581561803817749,0.10833442211151123,0.20231902599334717,-0.4255317449569702,0.6278507709503174,0.06784994900226593,-0.004120767116546631,0.07197071611881256,-0.09651310741901398,0.3357781171798706,-0.4322912096977234,0.04202694073319435,-0.14836017787456512,0.19038711488246918
17,17,legacy_list,manual,0.02,0.04,0.02,0.04,-0.09913444519042969,0.4466302692890167,False,False,-0.09913444519042969,0.005844235420227051,0.4466302692890167,0.05448506027460098,-0.060345571488142014,0.05941815301775932,0.0,hold(0),-0.0019826889038085938,0.00011688470840454102,0.008932605385780334,0.002179402392357588,-0.002413822803646326,0.0023767261300235987,True,True,True,True,0.16018196940422058,0.23261696100234985,0.0023003965616226196,0.0033139241859316826,0.006407278589904308,0.006530595012009144,0.0,0.0,0.0,17.82169532775879,17.836469650268555,0.014774322509765625,closed,closed,10.0,10.0,80.0,80.0,False,env_step_obs_only,0.0,False,False,0.015885382890701294,0.11501982808113098,-0.09913444519042969,0.060398876667022705,0.054554641246795654,0.005844235420227051,0.3405667841434479,-0.10606348514556885,0.4466302692890167,0.024219060316681862,-0.03026599995791912,0.05448506027460098,-0.2205275446176529,-0.16018196940422058,-0.060345571488142014,0.05041112005710602,-0.009007032960653305,0.05941815301775932
18,18,legacy_list,manual,0.02,0.04,0.02,0.04,-0.08952245116233826,0.5245313048362732,False,False,-0.08952245116233826,0.16554445028305054,0.5245313048362732,0.16003276407718658,0.02163916826248169,0.1880265772342682,0.0,hold(0),-0.0017904490232467651,0.0033108890056610107,0.010490626096725464,0.006401310209184885,0.0008655667188577354,0.0075210630893707275,True,True,True,True,0.3547392785549164,0.44788530468940735,0.007094785571098328,0.007515092846006155,0.007743514608591795,0.009749642573297024,0.0,0.0,0.0,17.836469650268555,17.836469650268555,0.0,closed,closed,10.0,10.0,80.0,80.0,False,env_step_obs_only,0.0,False,False,-0.11247321963310242,-0.02295076847076416,-0.08952245116233826,0.04378706216812134,-0.1217573881149292,0.16554445028305054,0.1697920262813568,-0.3547392785549164,0.5245313048362732,0.06122355908155441,-0.09880920499563217,0.16003276407718658,0.13195772469043732,0.11031855642795563,0.02163916826248169,-0.005561286583542824,-0.19358786940574646,0.1880265772342682
19,19,legacy_list,manual,0.02,0.04,0.02,0.04,-0.1009233295917511,0.2266494780778885,False,False,-0.1009233295917511,0.1337781548500061,0.041349977254867554,-0.02799801342189312,0.06881009787321091,0.2266494780778885,0.0,hold(0),-0.002018466591835022,0.002675563097000122,0.0008269995450973511,-0.0011199205182492733,0.002752403961494565,0.009065979160368443,True,True,True,True,0.26972317695617676,0.39909496903419495,0.003635719418525696,0.005243982188403606,0.010788926854729652,0.01203517708927393,0.0,0.0,0.0,17.836469650268555,17.836469650268555,0.0,closed,closed,10.0,10.0,80.0,80.0,False,env_step_obs_only,0.0,False,False,0.05535334348678589,0.156276673078537,-0.1009233295917511,0.2399846911430359,0.10620653629302979,0.1337781548500061,0.22313594818115234,0.1817859709262848,0.041349977254867554,0.10473651438951492,0.1327345222234726,-0.02799801342189312,-0.20091308653354645,-0.26972317695617676,0.06881009787321091,0.2392745465040207,0.012625068426132202,0.2266494780778885
