demo_global_index,demo_file_index,demo_local_episode_index,demo_file,demo_step,demo_transition_index,pkl_format,demo_scale_source,demo_pos_scale,demo_rot_scale,current_pos_scale,current_rot_scale,raw_action_min,raw_action_max,action_changed_by_safety,intervention_overrode_action,action_0,action_1,action_2,action_3,action_4,action_5,action_6,action_6_desc,expected_dx_m,expected_dy_m,expected_dz_m,expected_rx_rad,expected_ry_rad,expected_rz_rad,live_prev_pose_found,live_next_pose_found,demo_prev_pose_found,demo_next_pose_found,live_err_norm_max,live_err_norm_l2,live_err_pos_max_m,live_err_pos_l2_m,live_err_rot_max_rad,live_err_rot_l2_rad,demo_err_norm_max,demo_err_pos_max_m,demo_err_rot_max_rad,prev_gripper_feedback,next_gripper_feedback,delta_gripper_feedback,prev_gripper_state,next_gripper_state,prev_hw_gripper_cmd_right,next_hw_gripper_cmd_right,prev_hw_gripper_cmd_left,next_hw_gripper_cmd_left,demo_reward,demo_done,demo_mask,demo_terminal,refresh_success,refresh_source,reward,done,truncated,live_delta_action_0,live_action_err_0,demo_delta_action_0,live_delta_action_1,live_action_err_1,demo_delta_action_1,live_delta_action_2,live_action_err_2,demo_delta_action_2,live_delta_action_3,live_action_err_3,demo_delta_action_3,live_delta_action_4,live_action_err_4,demo_delta_action_4,live_delta_action_5,live_action_err_5,demo_delta_action_5
0,0,0,galaxea_usb_insertion_single_30_demos_abs2rel_feedback_2026-04-29_16-18-23.pkl,0,0,legacy_list,manual,0.02,0.03,0.02,0.03,-1.0,0.05366493761539459,False,False,0.05366493761539459,-0.08489977568387985,-0.13780829310417175,-0.2894579768180847,-0.4637942612171173,-1.0,0.0,hold(0),0.001073298742994666,-0.0016979954671114683,-0.0027561658062040806,-0.008683739230036736,-0.013913827948272228,-0.029999999329447746,True,True,True,True,1.0015841722488403,1.1562844514846802,0.0024925493635237217,0.003247776534408331,0.030047524720430374,0.034344740211963654,0.9425010681152344,0.002178587717935443,0.028275031596422195,82.74104309082031,82.72691345214844,-0.014129638671875,open,open,80.0,80.0,80.0,80.0,0.0,False,1.0,False,False,env_step_obs_only,0.0,False,False,-0.009357929229736328,-0.06302286684513092,0.004170089960098267,-0.0020369887351989746,0.08286278694868088,0.02402961254119873,-0.013180822134017944,0.12462747097015381,-0.036582350730895996,-0.00042554771061986685,0.2890324294567108,-0.012725938111543655,0.00940027553588152,0.47319453954696655,0.027082553133368492,0.0015842090360820293,1.0015841722488403,-0.05749892815947533
0,0,0,galaxea_usb_insertion_single_30_demos_abs2rel_feedback_2026-04-29_16-18-23.pkl,1,1,legacy_list,manual,0.02,0.03,0.02,0.03,-0.7464615702629089,0.0,False,False,-0.05331770330667496,-0.11991868168115616,-0.0980476662516594,-0.2391277402639389,-0.4491904079914093,-0.7464615702629089,0.0,hold(0),-0.0010663539869710803,-0.002398373559117317,-0.0019609532319009304,-0.007173832040280104,-0.013475712388753891,-0.02239384688436985,True,True,True,True,0.7464615702629089,0.9181479215621948,0.002398373559117317,0.0032763767521828413,0.02239384688436985,0.027102455496788025,1.7792706489562988,0.002172229578718543,0.05337812006473541,82.72691345214844,82.74104309082031,0.014129638671875,open,open,80.0,80.0,80.0,80.0,0.0,False,1.0,False,False,env_step_obs_only,0.0,False,False,0.0,0.05331770330667496,-0.0038638710975646973,0.0,0.11991868168115616,-0.2285301685333252,0.0,0.0980476662516594,-0.20164251327514648,0.0,0.2391277402639389,-0.6891539096832275,0.0,0.4491904079914093,-1.2434359788894653,0.0,0.7464615702629089,-2.5257322788238525
0,0,0,galaxea_usb_insertion_single_30_demos_abs2rel_feedback_2026-04-29_16-18-23.pkl,2,2,legacy_list,manual,0.02,0.03,0.02,0.03,-0.32704639434814453,0.11944037675857544,False,False,0.01602875627577305,-0.0005465832655318081,-0.32704639434814453,-0.08010897785425186,0.11944037675857544,-0.09509632736444473,0.0,hold(0),0.00032057511270977557,-1.0931665201496799e-05,-0.006540927570313215,-0.002403269289061427,0.0035832112189382315,-0.002852889709174633,True,True,True,True,0.06811355799436569,0.10992620140314102,0.0008215868147090077,0.0011307006934657693,0.0020434067118912935,0.002828215714544058,0.03981344401836395,8.456408906454271e-09,0.0011944032739847898,82.74104309082031,82.74104309082031,0.0,open,open,80.0,80.0,80.0,80.0,0.0,False,1.0,False,False,env_step_obs_only,0.0,False,False,0.04765912890434265,0.03163037449121475,0.016029179096221924,0.02199709415435791,0.02254367806017399,-0.000546872615814209,-0.3681257367134094,-0.04107934236526489,-0.3270462155342102,-0.10790419578552246,-0.0277952179312706,-0.1068120151758194,0.17839398980140686,0.05895361304283142,0.1592538207769394,-0.16320988535881042,-0.06811355799436569,-0.12679500877857208
0,0,0,galaxea_usb_insertion_single_30_demos_abs2rel_feedback_2026-04-29_16-18-23.pkl,3,3,legacy_list,manual,0.02,0.03,0.02,0.03,-0.37870776653289795,0.08481395244598389,False,False,0.08481395244598389,0.03749927878379822,-0.37870776653289795,-0.24072325229644775,-0.27415162324905396,0.0792185440659523,0.0,hold(0),0.001696279039606452,0.0007499855710193515,-0.007574154995381832,-0.007221697364002466,-0.008224548771977425,0.0023765561636537313,True,True,True,True,0.10334974527359009,0.1652011275291443,0.0014252954861149192,0.001611613668501377,0.0031004922930151224,0.0043264711275696754,0.09138384461402893,1.9669531781119076e-08,0.0027415151707828045,82.74104309082031,82.74104309082031,0.0,open,open,80.0,80.0,80.0,80.0,0.0,False,1.0,False,False,env_step_obs_only,0.0,False,False,0.08265599608421326,-0.00215795636177063,0.0848136842250824,0.07504820823669434,0.03754892945289612,0.03750026226043701,-0.3074429929256439,0.07126477360725403,-0.37870779633522034,-0.1683407574892044,0.07238249480724335,-0.3209642767906189,-0.17080187797546387,0.10334974527359009,-0.3655354678630829,0.009377502836287022,-0.06984104216098785,0.10562482476234436
0,0,0,galaxea_usb_insertion_single_30_demos_abs2rel_feedback_2026-04-29_16-18-23.pkl,4,4,legacy_list,manual,0.02,0.03,0.02,0.03,-0.5182889103889465,0.005144884809851646,False,False,-0.040045272558927536,0.005144884809851646,-0.5182889103889465,-0.21180027723312378,-0.16837036609649658,-0.020204180851578712,0.0,hold(0),-0.00080090545816347,0.00010289769124938175,-0.010365777648985386,-0.006354008335620165,-0.0050511108711361885,-0.0006061253952793777,True,True,True,True,0.0414489209651947,0.07976141571998596,0.0007671206840313971,0.0008820872753858566,0.001243467559106648,0.0019937450997531414,0.07060018181800842,2.0079314211329802e-08,0.0021180054172873497,82.74104309082031,82.74104309082031,0.0,open,open,80.0,80.0,80.0,80.0,0.0,False,1.0,False,False,env_step_obs_only,0.0,False,False,-0.02296268939971924,0.017082583159208298,-0.04004538059234619,0.018642842769622803,0.013497957959771156,0.005143880844116211,-0.47993287444114685,0.03835603594779968,-0.5182892084121704,-0.17035135626792908,0.0414489209651947,-0.2824004590511322,-0.13284611701965332,0.03552424907684326,-0.2244938313961029,-0.058108046650886536,-0.03790386766195297,-0.02693912573158741
0,0,0,galaxea_usb_insertion_single_30_demos_abs2rel_feedback_2026-04-29_16-18-23.pkl,5,5,legacy_list,manual,0.02,0.03,0.02,0.03,-0.5215383768081665,0.09849736094474792,False,False,-0.03535739332437515,0.013148133642971516,-0.5215383768081665,0.09849736094474792,0.03524858504533768,-0.005643363110721111,0.0,hold(0),-0.0007071478758007288,0.0002629626542329788,-0.010430767200887203,0.0029549207538366318,0.001057457528077066,-0.00016930089623201638,True,True,True,True,0.0824674665927887,0.10126765072345734,0.0016493493458256125,0.001750093069858849,0.0014396002516150475,0.0015291385352611542,0.03283247351646423,1.3019889166798748e-08,0.000984974205493927,82.74104309082031,82.74104309082031,0.0,open,open,80.0,80.0,80.0,80.0,0.0,False,1.0,False,False,env_step_obs_only,0.0,False,False,-0.041174888610839844,-0.005817495286464691,-0.03535747528076172,0.0418245792388916,0.02867644652724266,0.013148784637451172,-0.4390709102153778,0.0824674665927887,-0.5215384364128113,0.09164756536483765,-0.006849795579910278,0.13132983446121216,0.05101027339696884,0.015761688351631165,0.046998146921396255,-0.0536300390958786,-0.047986675053834915,-0.00752441817894578
0,0,0,galaxea_usb_insertion_single_30_demos_abs2rel_feedback_2026-04-29_16-18-23.pkl,6,6,legacy_list,manual,0.02,0.03,0.02,0.03,-0.5929303765296936,0.015783706679940224,False,False,-0.08171521127223969,0.015783706679940224,-0.5929303765296936,-0.34356018900871277,-0.2024771273136139,-0.09791120886802673,0.0,hold(0),-0.001634304178878665,0.000315674114972353,-0.011858607642352581,-0.01030680537223816,-0.006074313540011644,-0.0029373362194746733,True,True,True,True,0.04185366630554199,0.0663406103849411,0.0007086193654686213,0.000766244949772954,0.001255609910003841,0.0016247840831056237,0.11046189069747925,0.0008001279784366488,0.003313856665045023,82.74104309082031,82.74104309082031,0.0,open,open,80.0,80.0,80.0,80.0,0.0,False,1.0,False,False,env_step_obs_only,0.0,False,False,-0.06873905658721924,0.012976154685020447,-0.07068291306495667,0.009143352508544922,-0.006640354171395302,0.007939338684082031,-0.5574994087219238,0.035430967807769775,-0.5529239773750305,-0.34378355741500854,-0.00022336840629577637,-0.454022079706192,-0.1681046187877655,0.03437250852584839,-0.23077331483364105,-0.13976487517356873,-0.04185366630554199,-0.13645413517951965
0,0,0,galaxea_usb_insertion_single_30_demos_abs2rel_feedback_2026-04-29_16-18-23.pkl,7,7,legacy_list,manual,0.02,0.03,0.02,0.03,-0.26353681087493896,0.10853487998247147,False,False,-0.1520375907421112,0.10853487998247147,-0.26353681087493896,0.032071664929389954,-0.1749240756034851,-0.13810214400291443,0.0,hold(0),-0.003040751675143838,0.0021706975530833006,-0.005270736292004585,0.00096214993391186,-0.005247722379863262,-0.004143064375966787,True,True,True,True,0.05290314555168152,0.0755171850323677,0.0005585610633715987,0.0008158636628650129,0.001587094273418188,0.001906537334434688,0.09744691848754883,0.0008001160458661616,0.002923407591879368,82.74104309082031,82.74104309082031,0.0,open,open,80.0,80.0,80.0,80.0,0.0,False,1.0,False,False,env_step_obs_only,0.0,False,False,-0.12410953640937805,0.027928054332733154,-0.16306936740875244,0.13357549905776978,0.02504061907529831,0.11637955904006958,-0.2795703709125519,-0.016033560037612915,-0.3035426139831543,0.007773396093398333,-0.02429826930165291,0.03847319260239601,-0.2004115730524063,-0.025487497448921204,-0.27237099409103394,-0.19100528955459595,-0.05290314555168152,-0.1780177354812622
0,0,0,galaxea_usb_insertion_single_30_demos_abs2rel_feedback_2026-04-29_16-18-23.pkl,8,8,legacy_list,manual,0.02,0.03,0.02,0.03,-0.07058584690093994,0.048294875770807266,False,False,-0.01969338208436966,0.048294875770807266,0.0092950239777565,-0.06653854995965958,-0.07058584690093994,-0.024686744436621666,0.0,hold(0),-0.00039386763819493353,0.0009658975177444518,0.00018590046965982765,-0.0019961565267294645,-0.002117575379088521,-0.0007406023214571178,True,True,True,True,0.04589393734931946,0.07673615962266922,0.0007689978228881955,0.0011687352089211345,0.0013768180506303906,0.0014920537360012531,0.044315360486507416,0.0002242071059299633,0.0013294607633724809,82.74104309082031,82.74104309082031,0.0,open,open,80.0,80.0,80.0,80.0,0.0,False,1.0,False,False,env_step_obs_only,0.0,False,False,0.010097771883010864,0.029791153967380524,-0.022826343774795532,0.08068233728408813,0.03238746151328087,0.03708451986312866,-0.029154866933822632,-0.03844989091157913,0.009885430335998535,-0.058667853474617004,0.007870696485042572,-0.11085391044616699,-0.08806101977825165,-0.017475172877311707,-0.11093337088823318,-0.07058068364858627,-0.04589393734931946,-0.026519261300563812
0,0,0,galaxea_usb_insertion_single_30_demos_abs2rel_feedback_2026-04-29_16-18-23.pkl,9,9,legacy_list,manual,0.02,0.03,0.02,0.03,-0.11573436856269836,0.042903535068035126,False,False,0.03531380742788315,0.042903535068035126,0.03352326527237892,-0.11573436856269836,-0.022769400849938393,0.026025820523500443,0.0,hold(0),0.0007062761578708887,0.0008580706780776381,0.0006704652914777398,-0.003472031094133854,-0.0006830820348113775,0.000780774571467191,True,True,True,True,0.04615497961640358,0.07317352294921875,0.000923099578358233,0.0010294963140040636,0.0013480569468811154,0.0015602039638906717,0.03857800364494324,9.089708541409891e-09,0.0011573401279747486,82.74104309082031,82.72691345214844,-0.014129638671875,open,open,80.0,80.0,80.0,80.0,0.0,False,1.0,False,False,env_step_obs_only,0.0,False,False,0.048529356718063354,0.013215549290180206,0.03531426191329956,0.06147027015686035,0.018566735088825226,0.04290342330932617,-0.012631714344024658,-0.04615497961640358,0.03352314233779907,-0.10041242092847824,0.015321947634220123,-0.1543123722076416,-0.04400074854493141,-0.02123134769499302,-0.03035922534763813,-0.018909413367509842,-0.044935233891010284,0.03470102697610855
